date,code,close,volume,pe,industry
2020-06-08,603259,60.831492,21738284,103.75978,主板-沪
2020-06-09,603259,61.1375624,12364112,104.281842,主板-沪
2020-06-10,603259,62.21646056,13984047,106.12211,主板-沪
2020-06-11,603259,62.20115704,14276728,106.096007,主板-沪
2020-06-12,603259,63.64733968,17939377,108.562749,主板-沪
2020-06-15,603259,63.1652788,14240029,107.740502,主板-沪
2020-06-16,603259,64.4278192,15823119,109.894006,主板-沪
2020-06-17,603259,65.0782188,16062506,111.003388,主板-沪
2020-06-18,603259,64.8104072,14009440,110.546584,主板-沪
2020-06-19,603259,68.23839568,24336071,116.393676,主板-沪
2020-06-22,603259,68.69750128,14507222,117.176768,主板-沪
2020-06-23,603259,71.22258208,18949066,121.483778,主板-沪
2020-06-24,603259,73.36507488,17722201,125.138211,主板-沪
2020-06-29,603259,74.19911672,17977564,126.560829,主板-沪
2020-06-30,603259,73.9160016,14964169,126.077922,主板-沪
2020-07-01,603259,72.51572952,21219330,123.689489,主板-沪
2020-07-02,603259,71.161368,17498595,121.379366,主板-沪
2020-07-03,603259,73.35742312,17289592,125.125159,主板-沪
2020-07-06,603259,71.926544,28373728,122.68452,主板-沪
2020-07-07,603259,73.24264672,24606836,124.929386,主板-沪
2020-07-08,603259,74.16085792,17203050,126.495571,主板-沪
2020-07-09,603259,77.51998056,20455746,132.225199,主板-沪
2020-07-10,603259,77.51998056,13755594,132.225199,主板-沪
2020-07-13,603259,80.34348,18384046,137.041219,主板-沪
2020-07-14,603259,79.18041248,17475005,135.057385,主板-沪
2020-07-15,603259,81.7207968,22808162,139.390497,主板-沪
2020-07-16,603259,76.96140208,22975155,131.272437,主板-沪
2020-07-17,603259,78.26985304,17912423,133.504251,主板-沪
2020-07-20,603259,77.04557144,16183008,131.416004,主板-沪
2020-07-21,603259,83.79442376,28231340,100.654652,主板-沪
2020-07-22,603259,83.80207552,18288259,100.663844,主板-沪
2020-07-23,603259,87.97993648,21741505,105.68233,主板-沪
2020-07-24,603259,81.9120908,21966721,98.393576,主板-沪
2020-07-27,603259,81.70549328,13713857,98.145409,主板-沪
2020-07-28,603259,83.3276664,13640531,100.093979,主板-沪
2020-07-29,603259,83.8632896,20475081,100.737375,主板-沪
2020-07-30,603259,84.18466352,15843770,101.123412,主板-沪
2020-07-31,603259,86.464888,14652283,103.862439,主板-沪
2020-08-03,603259,86.41132568,13499082,103.7981,主板-沪
2020-08-04,603259,87.42900976,14605430,105.020551,主板-沪
2020-08-05,603259,89.525592,14666684,107.538986,主板-沪
2020-08-06,603259,87.5361344,14981410,108.251764,主板-沪
2020-08-07,603259,85.6231944,17896423,105.886122,主板-沪
2020-08-10,603259,86.6179232,14841528,107.116256,主板-沪
2020-08-11,603259,86.656182,13258544,107.163569,主板-沪
