date,factor,IC,year
2020-11-10,factor_pe,-0.21689569748569143,2020
2020-11-10,factor_momentum_20,0.28769270195620594,2020
2020-11-10,factor_vol_60,-0.20380193057888885,2020
2020-11-11,factor_pe,-0.010832882485264383,2020
2020-11-11,factor_momentum_20,0.18730715567071948,2020
2020-11-11,factor_vol_60,0.07062273982744381,2020
2020-11-12,factor_pe,-0.07524701728409121,2020
2020-11-12,factor_momentum_20,0.01387624932372789,2020
2020-11-12,factor_vol_60,-0.024967681312110242,2020
2020-11-13,factor_pe,-0.13782510891540187,2020
2020-11-13,factor_momentum_20,0.1021840029613599,2020
2020-11-13,factor_vol_60,-0.014245280332583496,2020
2020-11-16,factor_pe,-0.13767476294883108,2020
2020-11-16,factor_momentum_20,0.02698368404567327,2020
2020-11-16,factor_vol_60,-0.012033372248640333,2020
2020-11-17,factor_pe,-0.07397818844500126,2020
2020-11-17,factor_momentum_20,0.012174606338449268,2020
2020-11-17,factor_vol_60,0.004789430222956232,2020
2020-11-18,factor_pe,-0.031569236026082734,2020
2020-11-18,factor_momentum_20,0.13740368461516553,2020
2020-11-18,factor_vol_60,-0.013441157208348752,2020
2020-11-19,factor_pe,-0.2202352003189156,2020
2020-11-19,factor_momentum_20,0.10081949941627036,2020
2020-11-19,factor_vol_60,-0.20076311967880625,2020
2020-11-20,factor_pe,-0.34857598450980937,2020
2020-11-20,factor_momentum_20,-0.1817375210000284,2020
2020-11-20,factor_vol_60,-0.35078561462456204,2020
2020-11-23,factor_pe,-0.308139753409835,2020
2020-11-23,factor_momentum_20,-0.28987499644067305,2020
2020-11-23,factor_vol_60,-0.2473840371308977,2020
2020-11-24,factor_pe,-0.25984680657194104,2020
2020-11-24,factor_momentum_20,-0.3555374583558756,2020
2020-11-24,factor_vol_60,-0.2000091118767618,2020
2020-11-25,factor_pe,-0.10364873715082999,2020
2020-11-25,factor_momentum_20,-0.27720493180329725,2020
2020-11-25,factor_vol_60,-0.06155414448019588,2020
2020-11-26,factor_pe,0.056790910902930015,2020
2020-11-26,factor_momentum_20,-0.43806372618810313,2020
2020-11-26,factor_vol_60,0.039646914775477646,2020
2020-11-27,factor_pe,0.3298920812096015,2020
2020-11-27,factor_momentum_20,-0.2681181127025256,2020
2020-11-27,factor_vol_60,0.24614709986047428,2020
2020-11-30,factor_pe,0.4101358239129814,2020
2020-11-30,factor_momentum_20,-0.36795011247472864,2020
2020-11-30,factor_vol_60,0.21842421481249458,2020
2020-12-01,factor_pe,0.489343090634699,2020
2020-12-01,factor_momentum_20,-0.441489791850565,2020
2020-12-01,factor_vol_60,0.25121330334007225,2020
2020-12-02,factor_pe,0.2775967425040575,2020
2020-12-02,factor_momentum_20,-0.4688277001053559,2020
2020-12-02,factor_vol_60,0.058661123608303174,2020
2020-12-03,factor_pe,0.36371992368803197,2020
2020-12-03,factor_momentum_20,-0.25194225348102156,2020
2020-12-03,factor_vol_60,0.20484068452974166,2020
2020-12-04,factor_pe,0.13134884250690504,2020
2020-12-04,factor_momentum_20,-0.24130185939235163,2020
2020-12-04,factor_vol_60,0.02801104815057375,2020
2020-12-07,factor_pe,0.14349953016885442,2020
2020-12-07,factor_momentum_20,0.03214556223127081,2020
2020-12-07,factor_vol_60,0.09841168598194705,2020
2020-12-08,factor_pe,0.18275121728978608,2020
2020-12-08,factor_momentum_20,-0.07236538625815082,2020
2020-12-08,factor_vol_60,0.1340960733506079,2020
2020-12-09,factor_pe,0.2929046954639937,2020
2020-12-09,factor_momentum_20,0.030956462313847192,2020
2020-12-09,factor_vol_60,0.2611885304251259,2020
2020-12-10,factor_pe,0.2838361001167458,2020
2020-12-10,factor_momentum_20,0.047699535863777426,2020
2020-12-10,factor_vol_60,0.30243344058771593,2020
2020-12-11,factor_pe,0.26998149150032735,2020
2020-12-11,factor_momentum_20,0.0266670463281984,2020
2020-12-11,factor_vol_60,0.30221247757624065,2020
2020-12-14,factor_pe,0.26702924342948253,2020
2020-12-14,factor_momentum_20,-0.17776018679347355,2020
2020-12-14,factor_vol_60,0.3074335829607903,2020
2020-12-15,factor_pe,0.10036846151655796,2020
2020-12-15,factor_momentum_20,0.06526495629146613,2020
2020-12-15,factor_vol_60,0.06539252256613226,2020
2020-12-16,factor_pe,0.25187391440530754,2020
2020-12-16,factor_momentum_20,0.0973342065548563,2020
2020-12-16,factor_vol_60,0.26588342492667777,2020
2020-12-17,factor_pe,0.1468185312793644,2020
2020-12-17,factor_momentum_20,0.11901363934052787,2020
2020-12-17,factor_vol_60,0.14892793074973654,2020
2020-12-18,factor_pe,0.196300578034682,2020
2020-12-18,factor_momentum_20,0.19560579743158965,2020
2020-12-18,factor_vol_60,0.19124120846265547,2020
2020-12-21,factor_pe,0.1354628548648879,2020
2020-12-21,factor_momentum_20,0.18486517269853917,2020
2020-12-21,factor_vol_60,0.1865668156838178,2020
2020-12-22,factor_pe,0.16503545089552657,2020
2020-12-22,factor_momentum_20,0.022917509040690214,2020
2020-12-22,factor_vol_60,0.2440194766365784,2020
2020-12-23,factor_pe,0.20273584099775044,2020
2020-12-23,factor_momentum_20,0.17555739058629224,2020
2020-12-23,factor_vol_60,0.18121358808622107,2020
2020-12-24,factor_pe,0.30777983427774125,2020
2020-12-24,factor_momentum_20,0.07609442182294482,2020
2020-12-24,factor_vol_60,0.3348443862296761,2020
2020-12-25,factor_pe,0.4674563626526949,2020
2020-12-25,factor_momentum_20,0.216683846350978,2020
2020-12-25,factor_vol_60,0.4379498277285798,2020
2020-12-28,factor_pe,0.5388752527122068,2020
2020-12-28,factor_momentum_20,0.2561268828839089,2020
2020-12-28,factor_vol_60,0.4093294228195562,2020
2020-12-29,factor_pe,0.5698032404111733,2020
2020-12-29,factor_momentum_20,0.32901961900965276,2020
2020-12-29,factor_vol_60,0.48900367322531946,2020
2020-12-30,factor_pe,0.48844101483527413,2020
2020-12-30,factor_momentum_20,0.31138130356786914,2020
2020-12-30,factor_vol_60,0.48592613684899894,2020
2020-12-31,factor_pe,0.3680025057661094,2020
2020-12-31,factor_momentum_20,0.3592551040747172,2020
2020-12-31,factor_vol_60,0.36863350323186866,2020
2021-01-04,factor_pe,0.18477633190011097,2021
2021-01-04,factor_momentum_20,0.16516073920100224,2021
2021-01-04,factor_vol_60,0.21278851903527995,2021
2021-01-05,factor_pe,0.04155129701870781,2021
2021-01-05,factor_momentum_20,0.05921922605996752,2021
2021-01-05,factor_vol_60,0.12073806201771116,2021
2021-01-06,factor_pe,0.006739371849995726,2021
2021-01-06,factor_momentum_20,0.11983143027990542,2021
2021-01-06,factor_vol_60,0.10534810216691814,2021
2021-01-07,factor_pe,-0.26331387567983133,2021
2021-01-07,factor_momentum_20,-0.2626373188302627,2021
2021-01-07,factor_vol_60,-0.23703294512941703,2021
2021-01-08,factor_pe,-0.4337743102024543,2021
2021-01-08,factor_momentum_20,-0.3112514593240125,2021
2021-01-08,factor_vol_60,-0.34302457359264205,2021
2021-01-11,factor_pe,-0.36236680998889476,2021
2021-01-11,factor_momentum_20,-0.2622751217289785,2021
2021-01-11,factor_vol_60,-0.27222529115293703,2021
2021-01-12,factor_pe,-0.5119610467268428,2021
2021-01-12,factor_momentum_20,-0.4068601042170903,2021
2021-01-12,factor_vol_60,-0.46053361428286665,2021
2021-01-13,factor_pe,-0.2982237535237335,2021
2021-01-13,factor_momentum_20,-0.30178194139924247,2021
2021-01-13,factor_vol_60,-0.2555778923090064,2021
2021-01-14,factor_pe,0.1334992454227056,2021
2021-01-14,factor_momentum_20,0.06085025200034167,2021
2021-01-14,factor_vol_60,0.2155015803411258,2021
2021-01-15,factor_pe,0.3964156154788005,2021
2021-01-15,factor_momentum_20,0.2270349383524587,2021
2021-01-15,factor_vol_60,0.39593496397961203,2021
2021-01-18,factor_pe,0.33947321962470445,2021
2021-01-18,factor_momentum_20,0.1471260571200774,2021
2021-01-18,factor_vol_60,0.3431156923602607,2021
2021-01-19,factor_pe,0.348530425126,2021
2021-01-19,factor_momentum_20,0.18322047894302224,2021
2021-01-19,factor_vol_60,0.3711005438651441,2021
2021-01-20,factor_pe,0.09705857228280984,2021
2021-01-20,factor_momentum_20,0.13709615877445253,2021
2021-01-20,factor_vol_60,0.20928728038953265,2021
2021-01-21,factor_pe,-0.1369412568695008,2021
2021-01-21,factor_momentum_20,-0.1832705942652125,2021
2021-01-21,factor_vol_60,-0.19061932287365807,2021
2021-01-22,factor_pe,-0.2618035821065519,2021
2021-01-22,factor_momentum_20,-0.20074945186366347,2021
2021-01-22,factor_vol_60,-0.300652068680771,2021
2021-01-25,factor_pe,-0.41180329736040305,2021
2021-01-25,factor_momentum_20,-0.21835815370597103,2021
2021-01-25,factor_vol_60,-0.43707280959025013,2021
2021-01-26,factor_pe,-0.02229334548250234,2021
2021-01-26,factor_momentum_20,0.10472849454711121,2021
2021-01-26,factor_vol_60,-0.07145192061277368,2021
2021-01-27,factor_pe,0.031316381445940934,2021
2021-01-27,factor_momentum_20,0.18900424271761718,2021
2021-01-27,factor_vol_60,-0.017372932031094274,2021
2021-01-28,factor_pe,0.0826344713687747,2021
2021-01-28,factor_momentum_20,0.28732139297815984,2021
2021-01-28,factor_vol_60,0.161039892935448,2021
2021-01-29,factor_pe,-0.08601042170904635,2021
